"Park","occasion","duration","start","end","yr","yr_occ","start_day","end_day"
"SAGW",1,7,2017-01-25,2017-01-31,2017,"2017_1",391,397
"SAGW",2,7,2017-02-01,2017-02-07,2017,"2017_2",398,404
"SAGW",3,7,2017-02-08,2017-02-14,2017,"2017_3",405,411
"SAGW",4,7,2017-02-15,2017-02-21,2017,"2017_4",412,418
"SAGW",5,7,2017-02-22,2017-02-28,2017,"2017_5",419,425
"SAGW",1,7,2018-01-30,2018-02-05,2018,"2018_1",761,767
"SAGW",2,7,2018-02-06,2018-02-12,2018,"2018_2",768,774
"SAGW",3,7,2018-02-13,2018-02-19,2018,"2018_3",775,781
"SAGW",4,7,2018-02-20,2018-02-26,2018,"2018_4",782,788
"SAGW",1,7,2020-01-16,2020-01-22,2020,"2020_1",1477,1483
"SAGW",2,7,2020-01-23,2020-01-29,2020,"2020_2",1484,1490
"SAGW",3,7,2020-01-30,2020-02-05,2020,"2020_3",1491,1497
"SAGW",4,7,2020-02-06,2020-02-12,2020,"2020_4",1498,1504
"SAGW",5,7,2020-02-13,2020-02-19,2020,"2020_5",1505,1511
"SAGW",6,7,2020-02-20,2020-02-26,2020,"2020_6",1512,1518
"SAGW",1,7,2021-01-13,2021-01-19,2021,"2021_1",1840,1846
"SAGW",2,7,2021-01-20,2021-01-26,2021,"2021_2",1847,1853
"SAGW",3,7,2021-01-27,2021-02-02,2021,"2021_3",1854,1860
"SAGW",4,7,2021-02-03,2021-02-09,2021,"2021_4",1861,1867
"SAGW",5,7,2021-02-10,2021-02-16,2021,"2021_5",1868,1874
"SAGW",1,7,2022-01-20,2022-01-26,2022,"2022_1",2212,2218
"SAGW",2,7,2022-01-27,2022-02-02,2022,"2022_2",2219,2225
"SAGW",3,7,2022-02-03,2022-02-09,2022,"2022_3",2226,2232
"SAGW",4,7,2022-02-10,2022-02-16,2022,"2022_4",2233,2239
"SAGW",5,7,2022-02-17,2022-02-23,2022,"2022_5",2240,2246
